index;x;y;z
405;0.033852;-0.189306;1.000087
406;-0.000719;-0.189606;0.976120
407;-0.011151;-0.128594;0.907349
408;-0.010945;-0.080000;0.859250
409;-0.015711;-0.053243;0.931906
410;0.071024;-0.115309;0.994243
411;-0.078471;-0.806379;1.084328
412;-0.050427;-1.316415;0.836874
413;0.069233;-1.327256;0.340600
414;0.087299;-1.564005;-0.060975
415;-0.256599;-1.805234;-0.674208
416;-0.203233;-1.174760;-0.716324
417;0.046121;-1.559118;-0.128708
418;-0.202542;-3.139064;-0.268358
419;-0.077875;-1.564267;0.770517
420;0.144253;-1.350656;1.428150
421;-0.009101;-0.418380;1.097211
422;0.046633;-0.315395;0.985129
423;-0.001919;-0.266921;0.894729
424;0.016848;-0.253876;0.849122
425;0.025284;-0.174917;0.911325
426;0.036419;-0.210601;0.967526
427;-0.043584;-0.821367;1.074922
428;-0.010579;-1.640547;0.812389
429;-0.107298;-1.557770;0.389641
430;0.141340;-1.633583;-0.102319
431;0.001607;-2.405712;-0.679297
432;-0.133183;-1.232669;-0.684443
433;0.051014;-1.846441;0.081673
434;-0.044748;-2.153794;-0.116477
435;0.049789;-1.459947;0.904752
436;0.157928;-1.224180;1.391302
437;0.055634;-0.347638;1.049501
438;0.047572;-0.283286;0.943234
439;-0.003591;-0.254180;0.886245
440;0.015125;-0.263034;0.889446
441;0.025384;-0.236663;0.898671
442;0.033929;-0.157073;0.926850
443;-0.059790;-0.664137;1.022663
444;-0.004229;-1.650628;0.767371
445;-0.022902;-1.610635;0.371228
446;-0.046779;-1.841058;-0.088442
447;-0.048790;-2.176125;-0.473750
448;-0.196553;-1.326730;-0.891106
449;-0.005657;-1.680307;-0.082331
450;0.223695;-2.141085;-0.231532
451;-0.239761;-1.597171;0.672760
452;0.205244;-1.527783;1.334001
453;0.076904;-0.420475;1.044768
454;0.022319;-0.261274;0.994866
455;0.004130;-0.254219;0.891229
456;0.021147;-0.252017;0.837956
457;0.023756;-0.148696;0.865664
458;0.071201;-0.104706;0.973581
459;-0.023474;-0.218942;1.032101
460;0.016651;-1.266712;0.864817
461;-0.001442;-1.720417;0.552947
462;0.014229;-1.766949;0.113111
463;-0.030059;-2.195525;-0.441374
464;-0.160870;-1.385388;-0.904035
465;-0.041613;-1.192068;-0.314574
466;0.196012;-1.761392;-0.334633
467;-0.352068;-1.872846;0.314418
468;0.139136;-1.543063;1.119618
469;0.059915;-0.730379;1.228843
470;0.044850;-0.269799;1.095948
471;-0.009815;-0.267283;0.997070
472;0.004882;-0.228470;0.932574
473;0.006570;-0.163425;0.910906
474;0.004593;-0.117761;0.968345
475;-0.001040;-0.119580;1.041180
476;-0.018455;-0.627414;1.002083
477;-0.028767;-1.636283;0.735894
478;0.026832;-1.966984;0.379562
479;0.040605;-1.347297;-0.445809
480;-0.079447;-1.695482;-0.671267
481;0.027630;-0.834846;-0.784302
482;0.079449;-0.628917;-0.586165
483;-0.043625;-0.382603;-0.132114
484;0.163973;-0.288816;-0.112298
485;-0.099489;-0.350472;0.051060
486;0.001786;-0.339655;0.212204
487;-0.035498;-0.263686;0.249469
488;-0.051302;-0.214084;0.345843
489;-0.005394;0.012165;0.351066
490;0.244811;-2.478085;-1.140984
491;0.070288;-0.726409;-0.279487
492;0.051538;-0.296548;-0.041353
493;0.002846;0.165319;-0.079798
494;-0.054745;-0.142797;0.075335
495;-0.043049;-0.079764;0.188949
496;-0.010248;-0.053477;-0.001710
497;0.035862;0.123789;-0.155196
498;0.005189;0.011515;-0.050916
499;-0.038289;-0.083635;0.131520
500;0.001835;0.006473;-0.043650
501;0.020601;0.068877;-0.106364
502;-0.026119;-0.046625;0.064587
503;0.005258;0.015130;-0.045095
504;0.011912;0.034258;-0.066559
505;-0.014070;-0.025801;0.029629
506;0.005635;0.020045;-0.040616
507;-0.005895;-0.006711;-0.000562
508;-0.003960;-0.004746;-0.003650
509;0.001278;0.008785;-0.021143
510;-0.004053;-0.004312;-0.000251
511;0.000235;0.006534;-0.017285
512;-0.002884;-0.002953;-0.001197
513;-0.001322;0.004866;-0.013133
514;-0.002370;-0.000285;-0.003279
515;-0.000720;0.003410;-0.009527
516;-0.001927;0.000854;-0.007172
517;-0.001736;0.002320;-0.007804
518;-0.001664;0.001695;-0.007939
519;-0.002037;0.001526;-0.007136
520;-0.002528;0.000667;-0.007164
521;-0.000993;0.001542;-0.006433
522;-0.001681;0.001306;-0.006500
523;-0.001344;0.002405;-0.006740
524;-0.001010;0.000905;-0.005800
525;-0.002674;0.001639;-0.005266
526;-0.001485;0.001089;-0.007687
527;-0.001233;0.000906;-0.005292
528;-0.001065;0.001850;-0.007747
529;-0.000481;0.001301;-0.006312
530;-0.000932;0.000705;-0.006492
531;-0.001766;0.000491;-0.006156
532;-0.002065;0.001114;-0.006379
533;-0.001489;0.002195;-0.006152
534;-0.002281;0.000789;-0.006039
535;-0.001089;0.001107;-0.005938
536;-0.000432;0.001319;-0.006465
537;-0.001533;0.000830;-0.005909
538;-0.001892;0.001179;-0.005305
539;-0.001375;0.001759;-0.005181
540;-0.001870;0.001377;-0.005839
541;-0.001930;0.002353;-0.006206
542;-0.001755;0.001755;-0.005145
543;-0.001241;0.001312;-0.005087
544;-0.000364;0.001612;-0.004928
545;-0.002124;0.000973;-0.006274
546;-0.000621;0.001035;-0.004759
547;-0.000350;0.001858;-0.004160
548;-0.002280;0.001998;-0.005995
549;-0.001762;0.006832;-0.005820
550;0.004007;0.002296;-0.003569
551;0.000055;0.002901;-0.006118
552;-0.035981;-0.065610;0.076873
553;0.013516;0.010777;-0.009746
554;0.018979;0.004248;-0.014188
555;0.011210;-0.024975;0.019379
556;0.004762;0.018876;-0.015741
557;-0.006423;0.043033;-0.038582
558;-0.002789;0.057712;-0.059786
559;0.004432;0.030506;-0.030535
560;-0.007355;-0.002696;0.000585
561;-0.006530;-0.012065;0.012462
562;0.001518;-0.020473;0.017733
